tau,t,y,v
0.05,6.3,0.854388,-0.00988789
0.05,6.35,0.851764,-0.0524761
0.05,6.4,0.847022,-0.0948272
0.05,6.45,0.840181,-0.136836
0.05,6.5,0.831261,-0.178399
0.05,6.55,0.82029,-0.219414
0.05,6.6,0.807301,-0.259779
0.05,6.65,0.792331,-0.299395
0.05,6.7,0.775423,-0.338166
0.05,6.75,0.756623,-0.375998
0.05,6.8,0.735983,-0.412797
0.05,6.85,0.713559,-0.448475
0.05,6.9,0.689412,-0.482945
0.05,6.95,0.663606,-0.516126
0.05,7,0.636209,-0.547936
0.05,7.05,0.607294,-0.578301
0.05,7.1,0.576937,-0.607148
0.05,7.15,0.545216,-0.634408
0.05,7.2,0.512215,-0.660019
0.05,7.25,0.478019,-0.68392
0.05,7.3,0.442716,-0.706056
0.05,7.35,0.406398,-0.726376
0.05,7.4,0.369156,-0.744834
0.05,7.45,0.331087,-0.761388
0.05,7.5,0.292286,-0.776002
0.05,7.55,0.252854,-0.788645
0.05,7.6,0.21289,-0.79929
0.05,7.65,0.172494,-0.807914
0.05,7.7,0.131769,-0.814503
0.05,7.75,0.0908167,-0.819044
0.05,7.8,0.0497402,-0.821531
0.05,7.85,0.00864203,-0.821963
0.05,7.9,-0.0323752,-0.820344
0.05,7.95,-0.0732093,-0.816683
0.05,8,-0.113759,-0.810995
0.05,8.05,-0.153924,-0.803299
0.05,8.1,-0.193605,-0.793619
0.05,8.15,-0.232704,-0.781984
0.05,8.2,-0.271126,-0.768427
0.05,8.25,-0.308775,-0.752989
0.05,8.3,-0.345561,-0.735711
0.05,8.35,-0.381393,-0.716641
0.05,8.4,-0.416184,-0.695832
0.05,8.45,-0.449851,-0.673339
0.05,8.5,-0.482312,-0.649224
0.05,8.55,-0.51349,-0.623549
0.05,8.6,-0.543309,-0.596384
0.05,8.65,-0.571699,-0.567799
0.05,8.7,-0.598592,-0.537869
0.05,8.75,-0.623926,-0.506673
0.05,8.8,-0.647641,-0.474291
0.05,8.85,-0.669681,-0.440807
0.05,8.9,-0.689996,-0.406307
0.05,8.95,-0.70854,-0.37088
0.05,9,-0.725271,-0.334616
0.05,9.05,-0.740152,-0.297609
0.05,9.1,-0.753149,-0.259951
0.05,9.15,-0.764236,-0.22174
0.05,9.2,-0.77339,-0.18307
0.05,9.25,-0.780592,-0.144041
0.05,9.3,-0.785829,-0.104749
0.05,9.35,-0.789094,-0.0652944
0.05,9.4,-0.790383,-0.0257753
0.05,9.45,-0.789697,0.0137096
0.05,9.5,-0.787044,0.0530618
0.05,9.55,-0.782435,0.0921835
0.05,9.6,-0.775886,0.130978
0.05,9.65,-0.767418,0.169349
0.05,9.7,-0.757058,0.207202
0.05,9.75,-0.744836,0.244443
0.05,9.8,-0.730787,0.280983
0.05,9.85,-0.714951,0.31673
0.05,9.9,-0.697371,0.351599
0.05,9.95,-0.678095,0.385504
0.05,10,-0.657177,0.418363
0.05,10.05,-0.634673,0.450096
0.05,10.1,-0.610641,0.480628
0.05,10.15,-0.585147,0.509886
0.05,10.2,-0.558257,0.537798
0.05,10.25,-0.530042,0.5643
0.05,10.3,-0.500575,0.589329
0.05,10.35,-0.469934,0.612826
0.05,10.4,-0.438197,0.634736
0.05,10.45,-0.405447,0.655008
0.05,10.5,-0.371767,0.673597
0.05,10.55,-0.337244,0.690459
0.05,10.6,-0.301966,0.705557
0.05,10.65,-0.266023,0.718858
0.05,10.7,-0.229507,0.730334
0.05,10.75,-0.192509,0.739959
0.05,10.8,-0.155123,0.747715
0.05,10.85,-0.117444,0.753587
0.05,10.9,-0.0795653,0.757566
0.05,10.95,-0.0415831,0.759645
0.05,11,-0.00359189,0.759824
