tau,t,y,v
0.05,1.85,-0.27522,-0.961381
0.05,1.9,-0.322915,-0.946428
0.05,1.95,-0.369804,-0.92911
0.05,2,-0.415768,-0.909471
0.05,2.05,-0.460694,-0.887559
0.05,2.1,-0.504469,-0.86343
0.05,2.15,-0.546983,-0.837144
0.05,2.2,-0.588131,-0.808766
0.05,2.25,-0.627809,-0.778367
0.05,2.3,-0.665919,-0.746024
0.05,2.35,-0.702365,-0.711817
0.05,2.4,-0.737056,-0.675832
0.05,2.45,-0.769906,-0.638158
0.05,2.5,-0.800832,-0.598889
0.05,2.55,-0.829757,-0.558124
0.05,2.6,-0.85661,-0.515965
0.05,2.65,-0.881322,-0.472517
0.05,2.7,-0.903832,-0.427888
0.05,2.75,-0.924084,-0.38219
0.05,2.8,-0.942027,-0.335538
0.05,2.85,-0.957616,-0.288046
0.05,2.9,-0.970813,-0.239836
0.05,2.95,-0.981585,-0.191026
0.05,3,-0.989904,-0.141738
0.05,3.05,-0.99575,-0.0920971
0.05,3.1,-0.999108,-0.0422257
0.05,3.15,-0.99997,0.00775126
0.05,3.2,-0.998333,0.0577089
0.05,3.25,-0.994203,0.107522
0.05,3.3,-0.987588,0.157067
0.05,3.35,-0.978506,0.206219
0.05,3.4,-0.966979,0.254856
0.05,3.45,-0.953036,0.302857
0.05,3.5,-0.936712,0.350101
0.05,3.55,-0.918048,0.39647
0.05,3.6,-0.89709,0.441848
0.05,3.65,-0.873891,0.486123
0.05,3.7,-0.848508,0.529182
0.05,3.75,-0.821005,0.57092
0.05,3.8,-0.791452,0.611232
0.05,3.85,-0.75992,0.650016
0.05,3.9,-0.726491,0.687176
0.05,3.95,-0.691246,0.72262
0.05,4,-0.654274,0.756258
0.05,4.05,-0.615667,0.788006
0.05,4.1,-0.575522,0.817786
0.05,4.15,-0.53394,0.845523
0.05,4.2,-0.491023,0.871147
0.05,4.25,-0.446879,0.894594
0.05,4.3,-0.401619,0.915807
0.05,4.35,-0.355356,0.934731
0.05,4.4,-0.308205,0.95132
0.05,4.45,-0.260283,0.965532
0.05,4.5,-0.211712,0.977332
0.05,4.55,-0.162611,0.98669
0.05,4.6,-0.113104,0.993583
0.05,4.65,-0.063315,0.997994
0.05,4.7,-0.0133674,0.999911
0.05,4.75,0.0366136,0.999329
0.05,4.8,0.0865031,0.996252
0.05,4.85,0.136177,0.990685
0.05,4.9,0.18551,0.982642
0.05,4.95,0.234379,0.972145
0.05,5,0.282664,0.959219
0.05,5.05,0.330241,0.943897
0.05,5.1,0.376994,0.926216
0.05,5.15,0.422805,0.906221
0.05,5.2,0.46756,0.883962
0.05,5.25,0.511146,0.859494
0.05,5.3,0.553455,0.832879
0.05,5.35,0.594382,0.804183
0.05,5.4,0.633823,0.773478
0.05,5.45,0.671681,0.74084
0.05,5.5,0.707861,0.706352
0.05,5.55,0.742272,0.670098
0.05,5.6,0.774829,0.632171
0.05,5.65,0.80545,0.592664
0.05,5.7,0.834059,0.551676
0.05,5.75,0.860583,0.50931
0.05,5.8,0.884958,0.465671
0.05,5.85,0.907121,0.420869
0.05,5.9,0.927018,0.375016
0.05,5.95,0.944599,0.328226
0.05,6,0.95982,0.280615
0.05,6.05,0.972643,0.232303
0.05,6.1,0.983036,0.183411
0.05,6.15,0.990973,0.134061
0.05,6.2,0.996434,0.0843761
0.05,6.25,0.999405,0.0344801
0.05,6.3,0.99988,-0.0155021
0.05,6.35,0.997856,-0.0654455
0.05,6.4,0.993339,-0.115225
0.05,6.45,0.986341,-0.164717
0.05,6.5,0.976878,-0.213798
0.05,6.55,0.964974,-0.262344
0.05,6.6,0.95066,-0.310235
0.05,6.65,0.93397,-0.357351
0.05,6.7,0.914947,-0.403574
0.05,6.75,0.893638,-0.448788
0.05,6.8,0.870096,-0.492882
0.05,6.85,0.844381,-0.535744
0.05,6.9,0.816555,-0.577267
0.05,6.95,0.78669,-0.617348
0.05,7,0.754859,-0.655887
0.05,7.05,0.721142,-0.692787
0.05,7.1,0.685624,-0.727956
0.05,7.15,0.648392,-0.761306
0.05,7.2,0.609541,-0.792755
0.05,7.25,0.569166,-0.822222
0.05,7.3,0.52737,-0.849636
0.05,7.35,0.484256,-0.874927
0.05,7.4,0.439932,-0.898031
0.05,7.45,0.394509,-0.918892
0.05,7.5,0.3481,-0.937457
0.05,7.55,0.300822,-0.95368
0.05,7.6,0.252791,-0.967521
0.05,7.65,0.20413,-0.978944
0.05,7.7,0.154958,-0.987921
0.05,7.75,0.105399,-0.99443
0.05,7.8,0.0555774,-0.998454
0.05,7.85,0.00561641,-0.999984
0.05,7.9,-0.0443586,-0.999016
0.05,7.95,-0.0942228,-0.995551
0.05,8,-0.143852,-0.989599
0.05,8.05,-0.193121,-0.981175
0.05,8.1,-0.241908,-0.970299
0.05,8.15,-0.29009,-0.956999
0.05,8.2,-0.337548,-0.941308
0.05,8.25,-0.384162,-0.923266
0.05,8.3,-0.429817,-0.902916
0.05,8.35,-0.474397,-0.880311
0.05,8.4,-0.517793,-0.855506
0.05,8.45,-0.559895,-0.828564
0.05,8.5,-0.600598,-0.799552
0.05,8.55,-0.6398,-0.768542
0.05,8.6,-0.677404,-0.735612
0.05,8.65,-0.713315,-0.700844
0.05,8.7,-0.747444,-0.664325
0.05,8.75,-0.779706,-0.626146
0.05,8.8,-0.81002,-0.586403
0.05,8.85,-0.83831,-0.545194
0.05,8.9,-0.864505,-0.502624
0.05,8.95,-0.888541,-0.458798
0.05,9,-0.910356,-0.413825
0.05,9.05,-0.929897,-0.367819
0.05,9.1,-0.947115,-0.320894
0.05,9.15,-0.961967,-0.273167
0.05,9.2,-0.974415,-0.224757
0.05,9.25,-0.984428,-0.175786
0.05,9.3,-0.991982,-0.126376
0.05,9.35,-0.997058,-0.0766499
0.05,9.4,-0.999643,-0.0267324
0.05,9.45,-0.99973,0.0232519
0.05,9.5,-0.997319,0.0731781
0.05,9.55,-0.992416,0.122922
0.05,9.6,-0.985034,0.172358
0.05,9.65,-0.975191,0.221363
0.05,9.7,-0.962912,0.269816
0.05,9.75,-0.948227,0.317594
0.05,9.8,-0.931172,0.364579
0.05,9.85,-0.911791,0.410654
0.05,9.9,-0.890133,0.455702
0.05,9.95,-0.86625,0.499611
0.05,10,-0.840203,0.542273
0.05,10.05,-0.812056,0.583579
0.05,10.1,-0.781881,0.623427
0.05,10.15,-0.749753,0.661718
0.05,10.2,-0.715751,0.698356
0.05,10.25,-0.679961,0.733249
0.05,10.3,-0.642472,0.766309
0.05,10.35,-0.603378,0.797456
0.05,10.4,-0.562776,0.82661
0.05,10.45,-0.520768,0.853698
0.05,10.5,-0.477459,0.878654
0.05,10.55,-0.432958,0.901414
